url,people,rate
https://leetcode.cn/problems/design-twitter,740,0.412
https://leetcode.cn/problems/line-reflection,65,0.366
https://leetcode.cn/problems/count-numbers-with-unique-digits,951,0.606
https://leetcode.cn/problems/sort-transformed-array,93,0.622
https://leetcode.cn/problems/bomb-enemy,109,0.597
https://leetcode.cn/problems/design-hit-counter,131,0.69
https://leetcode.cn/problems/nested-list-weight-sum-ii,81,0.652
https://leetcode.cn/problems/water-and-jug-problem,705,0.43
https://leetcode.cn/problems/find-leaves-of-binary-tree,236,0.804
https://leetcode.cn/problems/largest-divisible-subset,606,0.46
https://leetcode.cn/problems/plus-one-linked-list,249,0.62
https://leetcode.cn/problems/range-addition,288,0.771
https://leetcode.cn/problems/sum-of-two-integers,725,0.623
https://leetcode.cn/problems/super-pow,523,0.569
https://leetcode.cn/problems/find-k-pairs-with-smallest-sums,577,0.408
https://leetcode.cn/problems/guess-number-higher-or-lower-ii,369,0.629
https://leetcode.cn/problems/wiggle-subsequence,1708,0.466
https://leetcode.cn/problems/combination-sum-iv,1050,0.527
https://leetcode.cn/problems/kth-smallest-element-in-a-sorted-matrix,869,0.637
https://leetcode.cn/problems/design-phone-directory,122,0.613
https://leetcode.cn/problems/insert-delete-getrandom-o1,1830,0.524
https://leetcode.cn/problems/linked-list-random-node,465,0.727
https://leetcode.cn/problems/shuffle-an-array,618,0.618
https://leetcode.cn/problems/mini-parser,313,0.549
https://leetcode.cn/problems/lexicographical-numbers,686,0.747
https://leetcode.cn/problems/longest-absolute-file-path,539,0.639
https://leetcode.cn/problems/elimination-game,481,0.595
https://leetcode.cn/problems/utf-8-validation,503,0.437
https://leetcode.cn/problems/decode-string,2481,0.572
https://leetcode.cn/problems/longest-substring-with-at-least-k-repeating-characters,698,0.526
https://leetcode.cn/problems/rotate-function,624,0.53
https://leetcode.cn/problems/integer-replacement,734,0.423
https://leetcode.cn/problems/random-pick-index,483,0.692
https://leetcode.cn/problems/evaluate-division,991,0.588
https://leetcode.cn/problems/nth-digit,650,0.456
https://leetcode.cn/problems/remove-k-digits,990,0.318
https://leetcode.cn/problems/queue-reconstruction-by-height,1520,0.764
https://leetcode.cn/problems/arithmetic-slices,1515,0.695
https://leetcode.cn/problems/partition-equal-subset-sum,2278,0.523
https://leetcode.cn/problems/pacific-atlantic-water-flow,904,0.563
https://leetcode.cn/problems/sentence-screen-fitting,64,0.393
https://leetcode.cn/problems/battleships-in-a-board,585,0.779
https://leetcode.cn/problems/maximum-xor-of-two-numbers-in-an-array,532,0.6
https://leetcode.cn/problems/reconstruct-original-digits-from-english,467,0.607
https://leetcode.cn/problems/longest-repeating-character-replacement,783,0.549
https://leetcode.cn/problems/convert-binary-search-tree-to-sorted-doubly-linked-list,195,0.681
https://leetcode.cn/problems/construct-quad-tree,369,0.715
https://leetcode.cn/problems/n-ary-tree-level-order-traversal,1245,0.731
https://leetcode.cn/problems/flatten-a-multilevel-doubly-linked-list,923,0.596
https://leetcode.cn/problems/minimum-genetic-mutation,798,0.546
https://leetcode.cn/problems/non-overlapping-intervals,1780,0.514
https://leetcode.cn/problems/find-right-interval,596,0.57
https://leetcode.cn/problems/path-sum-iii,1719,0.487
https://leetcode.cn/problems/find-all-anagrams-in-a-string,2512,0.54
https://leetcode.cn/problems/ternary-expression-parser,114,0.621
https://leetcode.cn/problems/find-all-duplicates-in-an-array,1074,0.751
https://leetcode.cn/problems/string-compression,1006,0.485
https://leetcode.cn/problems/sequence-reconstruction,89,0.321
https://leetcode.cn/problems/add-two-numbers-ii,1535,0.61
https://leetcode.cn/problems/number-of-boomerangs,567,0.682
https://leetcode.cn/problems/serialize-and-deserialize-bst,537,0.622
https://leetcode.cn/problems/delete-node-in-a-bst,2151,0.523
https://leetcode.cn/problems/sort-characters-by-frequency,1398,0.721
https://leetcode.cn/problems/minimum-number-of-arrows-to-burst-balloons,1711,0.511
https://leetcode.cn/problems/minimum-moves-to-equal-array-elements,905,0.613
https://leetcode.cn/problems/4sum-ii,1375,0.643
https://leetcode.cn/problems/132-pattern,632,0.364
https://leetcode.cn/problems/circular-array-loop,385,0.434
https://leetcode.cn/problems/minimum-moves-to-equal-array-elements-ii,538,0.624
https://leetcode.cn/problems/can-i-win,299,0.408
https://leetcode.cn/problems/unique-substrings-in-wraparound-string,387,0.517
https://leetcode.cn/problems/validate-ip-address,743,0.282
https://leetcode.cn/problems/convex-polygon,37,0.429
https://leetcode.cn/problems/implement-rand10-using-rand7,489,0.551
https://leetcode.cn/problems/matchsticks-to-square,542,0.467
https://leetcode.cn/problems/ones-and-zeroes,1163,0.658
https://leetcode.cn/problems/heaters,728,0.412
https://leetcode.cn/problems/total-hamming-distance,397,0.607
https://leetcode.cn/problems/generate-random-point-in-a-circle,192,0.483
https://leetcode.cn/problems/magical-string,480,0.64
https://leetcode.cn/problems/find-permutation,68,0.602
https://leetcode.cn/problems/predict-the-winner,596,0.594
https://leetcode.cn/problems/max-consecutive-ones-ii,256,0.571
https://leetcode.cn/problems/the-maze,153,0.51
https://leetcode.cn/problems/non-decreasing-subsequences,994,0.519
https://leetcode.cn/problems/target-sum,2139,0.484
https://leetcode.cn/problems/random-point-in-non-overlapping-rectangles,219,0.42
https://leetcode.cn/problems/diagonal-traverse,1181,0.558
https://leetcode.cn/problems/next-greater-element-ii,1719,0.672
https://leetcode.cn/problems/the-maze-ii,129,0.518
https://leetcode.cn/problems/most-frequent-subtree-sum,581,0.756
https://leetcode.cn/problems/inorder-successor-in-bst-ii,74,0.606
https://leetcode.cn/problems/find-bottom-left-tree-value,1649,0.733
https://leetcode.cn/problems/find-largest-value-in-each-tree-row,1179,0.664
https://leetcode.cn/problems/longest-palindromic-subsequence,1209,0.671
https://leetcode.cn/problems/coin-change-ii,1390,0.709
https://leetcode.cn/problems/random-flip-matrix,215,0.463
https://leetcode.cn/problems/longest-uncommon-subsequence-ii,369,0.489
https://leetcode.cn/problems/continuous-subarray-sum,815,0.287
https://leetcode.cn/problems/longest-word-in-dictionary-through-deleting,1013,0.502
https://leetcode.cn/problems/contiguous-array,733,0.547
https://leetcode.cn/problems/beautiful-arrangement,539,0.729
https://leetcode.cn/problems/random-pick-with-weight,504,0.486
https://leetcode.cn/problems/minesweeper,619,0.639
https://leetcode.cn/problems/lonely-pixel-i,131,0.642
https://leetcode.cn/problems/k-diff-pairs-in-an-array,721,0.46
https://leetcode.cn/problems/lonely-pixel-ii,51,0.525
https://leetcode.cn/problems/game-play-analysis-iii,219,0.694
https://leetcode.cn/problems/encode-and-decode-tinyurl,288,0.875
https://leetcode.cn/problems/construct-binary-tree-from-string,101,0.555
https://leetcode.cn/problems/complex-number-multiplication,677,0.744
https://leetcode.cn/problems/convert-bst-to-greater-tree,1647,0.771
https://leetcode.cn/problems/minimum-time-difference,688,0.656
https://leetcode.cn/problems/single-element-in-a-sorted-array,1121,0.604
https://leetcode.cn/problems/01-matrix,1132,0.467
https://leetcode.cn/problems/output-contest-matches,74,0.725
https://leetcode.cn/problems/boundary-of-binary-tree,113,0.458
https://leetcode.cn/problems/number-of-provinces,1960,0.622
https://leetcode.cn/problems/binary-tree-longest-consecutive-sequence-ii,97,0.5
