url,people,rate
https://leetcode.cn/problems/number-of-valid-words-for-each-puzzle,202,0.47
https://leetcode.cn/problems/maximum-number-of-ones,31,0.635
https://leetcode.cn/problems/make-array-strictly-increasing,125,0.594
https://leetcode.cn/problems/critical-connections-in-a-network,122,0.557
https://leetcode.cn/problems/tournament-winners,110,0.508
https://leetcode.cn/problems/minimum-time-to-build-blocks,32,0.473
https://leetcode.cn/problems/sort-items-by-groups-respecting-dependencies,179,0.607
https://leetcode.cn/problems/design-skiplist,265,0.679
https://leetcode.cn/problems/minimum-moves-to-reach-target-with-rotations,183,0.642
https://leetcode.cn/problems/valid-palindrome-iii,58,0.578
https://leetcode.cn/problems/count-vowels-permutation,382,0.609
https://leetcode.cn/problems/dice-roll-simulation,191,0.619
https://leetcode.cn/problems/maximum-equal-frequency,303,0.436
https://leetcode.cn/problems/report-contiguous-dates,159,0.522
https://leetcode.cn/problems/divide-chocolate,104,0.594
https://leetcode.cn/problems/maximum-profit-in-job-scheduling,394,0.578
https://leetcode.cn/problems/tiling-a-rectangle-with-the-fewest-squares,122,0.635
https://leetcode.cn/problems/palindrome-removal,62,0.503
https://leetcode.cn/problems/check-if-it-is-a-good-array,154,0.709
https://leetcode.cn/problems/maximum-score-words-formed-by-letters,249,0.798
https://leetcode.cn/problems/handshakes-that-dont-cross,76,0.536
https://leetcode.cn/problems/minimum-moves-to-move-a-box-to-their-target-location,160,0.54
https://leetcode.cn/problems/number-of-ways-to-stay-in-the-same-place-after-some-steps,352,0.491
https://leetcode.cn/problems/number-of-ships-in-a-rectangle,38,0.65
https://leetcode.cn/problems/palindrome-partitioning-iii,102,0.628
https://leetcode.cn/problems/minimum-number-of-flips-to-convert-binary-matrix-to-zero-matrix,108,0.689
https://leetcode.cn/problems/minimum-falling-path-sum-ii,340,0.614
https://leetcode.cn/problems/shortest-path-in-a-grid-with-obstacles-elimination,206,0.387
https://leetcode.cn/problems/maximum-candies-you-can-get-from-boxes,129,0.594
https://leetcode.cn/problems/number-of-paths-with-max-score,157,0.377
https://leetcode.cn/problems/verbal-arithmetic-puzzle,75,0.351
https://leetcode.cn/problems/minimum-insertion-steps-to-make-a-string-palindrome,290,0.697
https://leetcode.cn/problems/distinct-echo-substrings,95,0.496
https://leetcode.cn/problems/minimum-distance-to-type-a-word-using-two-fingers,82,0.614
https://leetcode.cn/problems/minimum-number-of-taps-to-open-to-water-a-garden,265,0.54
https://leetcode.cn/problems/reverse-subarray-to-maximize-array-value,85,0.573
https://leetcode.cn/problems/minimum-difficulty-of-a-job-schedule,182,0.668
https://leetcode.cn/problems/number-of-transactions-per-visit,90,0.447
https://leetcode.cn/problems/jump-game-v,138,0.598
https://leetcode.cn/problems/jump-game-iv,323,0.454
https://leetcode.cn/problems/maximum-students-taking-exam,205,0.639
https://leetcode.cn/problems/construct-target-array-with-multiple-sums,97,0.291
https://leetcode.cn/problems/count-all-valid-pickup-and-delivery-options,128,0.589
https://leetcode.cn/problems/largest-multiple-of-three,141,0.36
https://leetcode.cn/problems/minimum-cost-to-make-at-least-one-valid-path-in-a-grid,160,0.606
https://leetcode.cn/problems/get-the-second-most-recent-activity,90,0.617
https://leetcode.cn/problems/maximum-sum-bst-in-binary-tree,417,0.481
https://leetcode.cn/problems/frog-position-after-t-seconds,279,0.424
https://leetcode.cn/problems/maximum-performance-of-a-team,135,0.359
https://leetcode.cn/problems/total-sales-amount-by-year,111,0.573
https://leetcode.cn/problems/pizza-with-3n-slices,119,0.644
https://leetcode.cn/problems/longest-happy-prefix,239,0.449
https://leetcode.cn/problems/find-all-good-strings,73,0.449
https://leetcode.cn/problems/reducing-dishes,442,0.796
https://leetcode.cn/problems/stone-game-iii,133,0.592
https://leetcode.cn/problems/number-of-ways-to-paint-n-3-grid,169,0.579
https://leetcode.cn/problems/find-the-quiet-students-in-all-exams,147,0.518
https://leetcode.cn/problems/restore-the-array,89,0.423
https://leetcode.cn/problems/build-array-where-you-can-find-the-maximum-exactly-k-comparisons,72,0.639
https://leetcode.cn/problems/constrained-subsequence-sum,122,0.486
https://leetcode.cn/problems/number-of-ways-to-wear-different-hats-to-each-other,76,0.521
https://leetcode.cn/problems/find-the-kth-smallest-sum-of-a-matrix-with-sorted-rows,142,0.664
https://leetcode.cn/problems/number-of-ways-of-cutting-a-pizza,165,0.617
